CXCR4_low_MK	CXCR4_high_MK
4.190720662234903671e+01 2.287055362658948070e+02
1.871320343559642652e+01 2.101029162546929854e+02
1.291548517905815743e+02 8.047590011563598011e+01
0.000000000000000000e+00 2.781314308839977230e+02
1.995890892651060540e+02 9.015527507918801575e+01
9.252105029939419012e+01 7.077520679308156559e+02
0.000000000000000000e+00 5.592088667591411877e+01
2.168677324489564739e+01 1.905518065183540273e+02
2.670616373302046753e+01 4.479719747109691070e+02
3.066876452900406775e+02 2.437005768508880621e+01
8.917878707749137845e+01 6.897578999188091302e+02
1.660497317454279909e+01 2.008838735003343459e+02
1.762461179749810825e+01 2.157154898259974516e+02
3.012976300105054861e+02 7.182361670424818101e+01
5.550000000000000000e+01 6.120453604088147586e+02
1.718473544393490329e+02 1.355579588433785432e+02
0.000000000000000000e+00 1.049243920159662764e+02
1.551863976378431857e+02 2.125000000000000000e+02
1.797223915988372767e+02 1.039518670573701087e+02
6.518308503607086379e+01 3.114697437652233134e+02
9.750000000000000000e+01 1.235158720161869184e+02
1.240069168069477570e+02 2.055000000000000000e+02
3.367123228893667601e+02 2.346181140275875237e+02
1.373642198705587418e+02 7.255858465867881932e+02
1.038014581273464927e+02 1.474133082818200080e+02
3.103466077808739669e+02 3.460795063055894616e+01
1.319061010519983768e+02 1.125391237796950605e+02
1.737413118425983498e+02 1.515292180074936255e+02
1.370421083400992757e+02 1.397005625867914773e+02
4.096262762420145975e+01 1.591446720433432631e+02
2.974083193244228482e+02 2.754136556558529492e+02
4.488143096192853676e+01 3.074154027718932269e+01
3.074154027718932269e+01 2.872740499078549306e+02
3.797734623276902539e+02 7.657591289387686118e+01
6.157027391856539111e+01 2.955419433569711600e+02
2.502152547829275875e+02 1.445136048126159096e+02
1.621238135872207238e+02 2.879961273407960789e+02
1.495000000000000000e+02 9.599365461794988619e+01
1.084819805193617839e+02 3.906513703397204154e+02
3.441770831768376411e+02 2.442582403567251959e+01
2.708587386567328963e+02 1.937090721653817980e+02
8.950543462209175516e+01 6.771123895280309171e+02
1.002996408614166768e+01 7.741092968797115645e+02
3.139253466459347806e+02 4.633646178829911833e+01
2.435000000000000000e+02 1.157962383172009453e+02
2.062223035518724714e+02 6.486467917239716030e+01
2.829767941532201121e+02 1.085045044131092880e+02
1.397708684165525028e+02 2.027437575177379188e+02
3.263054135807377634e+02 2.190784285529618103e+02
8.950000000000000000e+01 1.492267280343183415e+02
2.753488797889961006e+02 8.486131867136622020e+01
0.000000000000000000e+00 3.257499047981582976e+02
9.251578816175762654e+01 1.311450522840258373e+02
0.000000000000000000e+00 2.335000000000000000e+02
1.813532023109741829e+02 1.624393828047140573e+02
1.106370849898476081e+02 1.492432041311899980e+02
2.500000000000000000e+00 8.165461959987698037e+01
7.446752561957542582e+01 7.524867548507060064e+02
2.233539350996568373e+02 1.233729518204765014e+02
2.517321773497603488e+02 2.143985938174795933e+02
1.025761628534274195e+02 2.440197760829747438e+02
2.188345883498555224e+02 1.781488306078951496e+02
1.512302832886220756e+02 6.862263607558520562e+02
9.762991560967181215e+01 1.069166349327194467e+02
9.375487000666511506e+01 3.650000000000000000e+01
1.782678068683691208e+02 5.914604363928627890e+02
5.890032573203500732e+01 3.905000000000000000e+02
2.996853735705948907e+02 7.802949770115296246e+01
8.942388155425118157e+01 2.228974267821174635e+02
8.390601830891179702e+01 6.721035873014610615e+02
1.218100961306039665e+02 4.165715929289409587e+02
0.000000000000000000e+00 3.421461953946394488e+02
2.891024691253488186e+02 2.572383298629603701e+02
3.256005943304583639e+02 2.011467529817256832e+02
2.929471187877790044e+02 1.683361788380903761e+02
2.346349826575572877e+02 4.860772935672255102e+01
1.002996408614166768e+01 2.198240877637868493e+02
2.166848534912939783e+02 2.309887577593405297e+02
1.750000000000000000e+01 3.597076812334268681e+01
1.970360331117451835e+01 2.424755089799794519e+02
2.736159176867570864e+02 2.426224183953805493e+02
0.000000000000000000e+00 8.328232907084537828e+02
5.000000000000000000e-01 1.379314779527724113e+02
3.317289634367434701e+02 5.568075283115542362e+01
2.283527669316527806e+02 1.472731618147924451e+02
8.414871608973787431e+01 9.113982437886616026e+02
4.819516742254630515e+01 4.393144406874904462e+02
4.275483399593904466e+01 1.471562728387955019e+02
2.314444378479642239e+02 1.008247308247159140e+02
1.406712261594486790e+02 6.440987936889458751e+02
1.269681427996864329e+02 3.150106297433205782e+02
2.629236009777593708e+01 1.788422179196008415e+02
